task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
lotka_volterra,10⁴,4,REJ-ABC,0.9997,0.5538099,,,1.309396235148112,,80a1023e-5336-461b-b82c-1df3ba8f0086
gaussian_mixture,10⁴,5,SNRE,0.6111,0.015313625,0.5647966,,5.948786926269531,10.117944121036867,0c665b41-fe4e-4da2-aa4f-c850094aa4c8
sir,10⁴,2,SNRE,0.5611,0.012997627,20.832666,,6.964658610026041,13.188494504671244,f4c8f8a4-a2a0-4b58-a284-32a2f48fbccf
slcp,10⁵,2,NLE,0.7017,0.02496779,22.253119,,50.39220784505208,12.26694740076652,82aaccab-4609-48d4-b1bb-87855a386eef
gaussian_mixture,10³,7,SMC-ABC,0.8192,0.21152359,1.7805667,,0.0238587737083435,9.217578314757144,8049aa5f-ed8e-4f80-9c7d-fb8d7764f3be
gaussian_linear_uniform,10³,9,NRE,0.831,0.11699128,1.7180694,,5.204111735026042,5.352088154412587,1548148d-f138-46ca-b767-54406b152d67
gaussian_linear_uniform,10³,1,SNRE,0.65775,0.015965462,1.4008815,,12.855925496419273,6.182439967641982,745de8c1-f86c-442d-8dca-265e7ba04a6e
gaussian_mixture,10³,5,SNLE,0.7221,0.021136284,1.2418957,,7.446304829915364,8.625069360163769,9a8f2639-a1f5-45d0-9738-a136c03d5bef
bernoulli_glm_raw,10⁴,5,REJ-ABC,0.9931,0.49548507,5.8309517,,0.05735855102539063,8.938546005533013,e3d5d72a-7f76-4baf-b0cb-4835d8adf8fe
sir,10⁴,8,NRE,0.7636,0.08322722,30.454884000000003,,3.449933115641276,17.880658688947193,29b723fb-3d14-4d6b-90d7-81be606de9ac
slcp_distractors,10⁴,2,NPE,0.9733,0.14699113,381.3319,8.655753135681152,4.088327026367187,,1f1b8146-5cf4-4a53-a538-7b2ea2942b70
gaussian_linear,10⁴,7,SNLE,0.5593,0.0046807528,1.3499558,,27.70309244791667,9.77206690215563,a2f6feac-0cd9-4d4f-b04f-8e9218000ba6
gaussian_mixture,10⁵,3,NRE,0.7192,0.02769059,1.1155305,,50.34586588541666,8.860889414955642,c6a5994b-1480-4bbe-bf1e-2557347706ea
gaussian_linear_uniform,10⁴,2,NLE,0.55705,0.0059421062,1.4400474,,14.19978739420573,4.827158670469377,cdd9677d-5cbe-473b-bb67-73896dcef9c3
gaussian_linear_uniform,10³,6,NLE,0.7185,0.047387958,1.4660542,,10.88878173828125,6.411655298766156,be07f645-027a-4a82-b1b7-f9ebb79ff068
two_moons,10³,4,SNLE,0.65715,0.021352768,0.09383533,,6.421980794270834,,fb07fad1-1d10-4df5-ba7f-807fa9251d39
lotka_volterra,10⁵,3,SNRE,0.6793,0.0063511133,15.206459,,,17.38103681684684,c3b9e2b7-ef6b-4752-9248-de3c1005d65c
bernoulli_glm,10⁴,10,SNPE,0.60045,0.012786031000000002,14.825734,,40.23382161458333,12.253279270849225,ae89db35-f76f-492c-a635-9b36d8503313
gaussian_linear_uniform,10⁴,2,NPE,0.5559,0.004970193,1.4239881,0.7119874954223633,5.709375508626303,4.853657922938699,fe648d2b-b429-40f8-aaa2-0157fcfed4a9
gaussian_linear,10⁵,6,SNPE,0.5019,0.00013935566000000002,1.3313786,,413.3001953125,6.360845378300387,af4f713c-229e-4a9c-b4eb-d9250cadd816
gaussian_mixture,10⁵,7,SNLE,0.58115,-0.0005372762700000001,1.0175812,,46.10547281901042,9.56294386881123,43c28af3-dbee-4cd6-9f90-e06835be0058
